,Area,PricePerSqMeter
0,Chiyoda-Ku,1890610
1,Chuo-Ku,3178147
2,Minato-Ku,2339310
3,Shinjuku-Ku,930080
4,Bunkyo-Ku,966787
5,Taito-Ku,1028047
6,Sumida-Ku,586675
7,Koto-Ku,587166
8,Shinagawa-Ku,742731
9,Meguro-Ku,845562
10,Ota-Ku,540823
11,Setagaya-Ku,653804
12,Shibuya-Ku,1328586
13,Nakano-Ku,599453
14,Suginami-Ku,568111
15,Toshima-Ku,689177
16,Kita-Ku,473063
17,Arakawa-Ku,421640
18,Itabashi-Ku,431728
19,Nerima-Ku,390446
20,Adachi-Ku,291044
21,Katsushika-Ku,308249
22,Edogawa-Ku,321519
23,Hachioji-Shi,138578
24,Tachikawa-Shi,246741
25,Musashino-Shi,539034
26,Mitaka-Shi,370577
27,Ome-Shi,89034
28,Fuchu-Shi,280614
29,Akishima-Shi,180928
30,Chofu-Shi,359657
31,Machida-Shi,157500
32,Koganei-Shi,299151
33,Kodaira-Shi,225175
34,Hino-Shi,201873
35,Higashimurayama-Shi,173849
36,Kokubunji-Shi,259093
37,Kunitachi-Shi,303409
38,Fussa-Shi,156494
39,Komae-Shi,296926
40,Higashiyamato-Shi,157706
41,Kiyose-Shi,165466
42,Higashikurume-Shi,201008
43,Musashimurayama-Shi,115214
44,Tama-Shi,170394
45,Inagi-Shi,223325
46,Hamura-Shi,157913
47,Akiruno-Shi,81717
48,Nishitokyo-Shi,267780
49,Nishitama-Gun,65385
50,Oshima-Machi,12409
51,Niijima-Mura,11119
52,Kozushima-Mura,8166
53,Ogasawara-Mura,29977
